Year,Revenue_USDbn,EBITDA_USDbn,EBIT_USDbn,NetIncome_USDbn,FreeCashFlow_USDbn,Capex_USDbn,NetDebt_USDbn,Vessels,TEU_Millions,Headcount
2018,39.0,3.0,1.0,3.2,1.4,2.1,8.7,787,13.3,88000
2019,38.9,5.7,1.2,-0.04,2.3,2.0,11.7,707,13.3,83000
2020,39.7,8.2,4.2,2.9,4.6,1.3,9.1,734,13.0,80000
2021,61.8,24.0,19.7,18.0,16.5,2.1,1.3,738,13.1,95000
2022,81.5,36.8,30.9,29.3,23.2,3.8,-10.0,715,11.9,110000
2023,51.1,8.4,1.0,3.8,2.7,5.7,3.2,707,11.8,103000
2024,55.5,12.2,6.5,6.1,3.5,4.6,8.1,689,12.4,100000
